driver,segment_value,offers,purchases,conversion_rate,revenue,avg_price,cr_lift_vs_product,revenue_share
FIRST_TOUCH_CHANNEL,Organic Search,23958,363,0.015151515151515152,7958.6757396,22.10470321023875,1.301205574476087,0.08420654822450664
FIRST_TOUCH_CHANNEL,Internal,3767,51,0.013538624900451287,1105.335225,22.000493945155295,1.1626912566197263,0.011694968732685971
FIRST_TOUCH_CHANNEL,Direct,186264,2423,0.013008418159171928,52407.122074,21.914338872649033,1.117157330772811,0.5544921035385322
FIRST_TOUCH_CHANNEL,Paid Search,111349,1161,0.010426676485644236,25199.6236955,22.660019673009185,0.8954384713810151,0.2666239205344469
FIRST_TOUCH_CHANNEL,Email,9493,96,0.010112714631833983,2262.0467482,23.312633117581377,0.8684755630338657,0.023933522965463236
FIRST_TOUCH_CHANNEL,Paid MetaSearches,2965,22,0.007419898819561552,403.6106465,22.829547348937606,0.6372177046000939,0.0042703912661397996
FIRST_TOUCH_CHANNEL,MetaSearches,31951,219,0.006854245563519139,4870.9406873,21.491633045660542,0.5886396473812201,0.05153685302731704
FIRST_TOUCH_CHANNEL,Partners,446,3,0.006726457399103139,51.738640000000004,20.636862447309415,0.5776652550364691,0.0005474192474701019
FIRST_TOUCH_CHANNEL,Affiliate,1440,6,0.004166666666666667,122.27965,23.576937940625,0.3578315329809239,0.0012937764499396862
FIRST_TOUCH_CHANNEL,Display,696,2,0.0028735632183908046,42.487359999999995,23.8347226954023,0.246780367573051,0.00044953633567081206
FIRST_TOUCH_CHANNEL,Referrals,1117,3,0.0026857654431512983,89.878755,22.542970036436884,0.2306523757800047,0.0009509596778278218
LAST_TOUCH_CHANNEL,Organic Search,44259,670,0.015138163989245125,14985.7214569,22.432591059563027,1.3000589824291684,0.15855232059507365
LAST_TOUCH_CHANNEL,Direct,132026,1751,0.013262539196824867,36825.426735,21.816671474406554,1.1389811356846642,0.3896213393883502
LAST_TOUCH_CHANNEL,Email,18023,204,0.011318870332353105,4700.429746,22.691906048915275,0.9720596934331708,0.049731609263247344
LAST_TOUCH_CHANNEL,Paid Search,123131,1319,0.010712168341035158,28683.3036809,22.482566351219432,0.9199563885653596,0.30347583691714286
LAST_TOUCH_CHANNEL,Internal,2163,23,0.0106333795654184,503.3908409,22.16700094230236,0.9131900425588072,0.005325988890194619
LAST_TOUCH_CHANNEL,Referrals,4611,44,0.009542398612014747,858.1071876999999,22.635847553871177,0.8194970696765467,0.009078968024359117
LAST_TOUCH_CHANNEL,MetaSearches,38596,282,0.007306456627629806,6653.68333,21.59686328652192,0.6274753381736172,0.07039747372259576
LAST_TOUCH_CHANNEL,Affiliate,4327,28,0.006470996071180957,616.3305528,23.312681786688234,0.5557263465754122,0.006520916572561159
LAST_TOUCH_CHANNEL,Push Notifications,371,2,0.005390835579514825,189.3086,20.680935360107817,0.46296263027181533,0.0020029277819510224
LAST_TOUCH_CHANNEL,Paid MetaSearches,3742,18,0.004810261892036344,342.4511197,22.68838214083378,0.4131032128481003,0.0036232102588438404
LAST_TOUCH_CHANNEL,Partners,1188,5,0.004208754208754209,102.10672,21.355900728872054,0.36144599291002416,0.0010803121792242617
LAST_TOUCH_CHANNEL,Display,831,3,0.0036101083032490976,55.679,23.015678219735257,0.31003454121090884,0.0005890964064561831
LOGIN_STATUS,Logged-In,111610,1568,0.014048920347639101,33367.7749689,21.92430067469044,1.2065152091334226,0.35289432887241046
LOGIN_STATUS,Logged-Out,262052,2783,0.010620029612443332,61186.8047987,22.27148219020538,0.9120435543656171,0.6471056711275897
has_loyalty,0,340281,4003,0.011763806971297251,86717.6834236,22.214311955839733,1.010270659735434,0.9171177497350014
has_loyalty,1,33381,348,0.010425092118270873,7836.896344,21.69345923024475,0.8953024065955714,0.08288225026499864
has_child_or_infant,1,23153,336,0.014512158251630458,7926.6260506,24.39869899752084,1.246297880170246,0.08383122287764777
has_child_or_infant,0,350509,4015,0.011454770062965573,86627.953717,22.020417653527584,0.9837307035779917,0.9161687771223522
pax_bucket,2,79891,1320,0.016522511922494397,30352.5305482,23.450956760473645,1.418946184781223,0.3210053983931995
pax_bucket,3,20110,281,0.013973147687717553,6646.1058464,24.184200016752857,1.200007885839558,0.07028856627288771
pax_bucket,1,254994,2585,0.01013749343121799,53078.2497571,21.422071778986172,0.8706035556184272,0.5613503850110468
pax_bucket,4_plus,18667,165,0.00883912787271656,4477.6936159,24.690267804746345,0.7591004824580591,0.04735565032286594
emd_price_bucket,high,168301,2235,0.013279778492106405,31679.2279169,14.73327821170819,1.140461638914609,0.3350364201793553
emd_price_bucket,very_high,182818,2064,0.011289916747803826,62440.0362967,30.73571254707195,0.9695731721024761,0.6603597250410038
emd_price_bucket,mid,21101,50,0.0023695559452158667,422.29523400000005,8.303068373565234,0.2034964407265574,0.0044661531470811255
emd_price_bucket,low,1442,2,0.0013869625520110957,13.02032,6.51016,0.11911174468158356,0.00013770163255975395
display_position_bucket,5,95085,1349,0.014187306094546985,26581.2980805,20.48305944222748,1.2183997172835246,0.2811212121700776
display_position_bucket,4,105736,1336,0.012635242490731634,26319.7781005,20.55485094213229,1.08510916561061,0.27835540240557144
display_position_bucket,3,80103,851,0.010623821829394654,21137.5416921,24.509770865131145,0.9123692283188383,0.22354857632546926
display_position_bucket,1,35559,335,0.009420962344272898,9021.3287281,24.976910896819373,0.8090681754736152,0.09540869146976254
display_position_bucket,2,36146,308,0.00852099817407182,8264.8335739,24.99786100205832,0.7317796413973855,0.087408072609636
display_position_bucket,6,21032,172,0.008178014454165081,3229.7995925,19.359799843381513,0.7023243477297708,0.034158045019483246
