DTD,FARE_YQ_TICKET,stay_length_days,pax_total,ADULTS,TEENAGERS,CHILDREN,INFANTS,has_child_or_infant,has_teenager,is_logged_in,has_loyalty,segment_count,has_connection,travel_span_hours,HOUR_OF_THE_DAY_PL_TIME,emd_price,display_position,is_hub_caj_route,product,MARKET,LANGUAGE,FLIGHT_TYPE,BROWSER_TYPE,FIRST_TOUCH_CHANNEL,LAST_TOUCH_CHANNEL,LOGIN_STATUS,origin_area,destination_area,route_direction,origin_prefix,destination_prefix,dtd_bucket,fare_bucket,stay_bucket,first_booking_class,first_rbd,actual_sold,predicted_probability,expected_revenue
120.0,577.4828861999999,10.6875,2,2,0,0,0,0,0,1,0,4,1,259.3333333333333,15.0,131.8418758,3,0,BAGGAGE,NEW APEX,LANG_02,Round-Trip,google,Direct,Paid Search,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CU,BU,61_120,very_high,9_14,Y,Y,0,0.60512,79.78015630907763
153.0,340.3378875,66.78472222222223,3,1,0,2,0,1,0,0,0,4,1,1606.0,11.0,97.5684532,2,0,BAGGAGE,LOWER VERTEX,LANG_09,Round-Trip,apple,Direct,Direct,Logged-Out,AREA_B,AREA_B,AREA_B_TO_AREA_B,BU,BE,120_plus,very_high,30_plus,Y,U,0,0.8176454,79.77639411073038
93.0,610.8106223999999,8.121527777777779,6,6,0,0,0,0,0,0,0,2,1,209.33333333333334,23.0,90.6214272,2,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,apple,Paid Search,Organic Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,61_120,very_high,9_14,Y,O,1,0.8685008,78.70478462507171
174.0,336.47033849999997,9.21875,3,3,0,0,0,0,0,0,0,2,1,241.83333333333334,7.0,95.1631204,1,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,apple,Direct,Direct,Logged-Out,AREA_C,AREA_D,AREA_C_TO_AREA_D,CA,DA,120_plus,very_high,9_14,Y,O,0,0.8249108,78.50108763824241
42.0,309.34395800000004,24.006944444444443,4,3,1,0,0,0,1,0,0,4,1,577.0833333333334,9.0,87.732972,1,0,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,microsoft,Email,MetaSearches,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CU,BU,31_60,very_high,15_30,Y,O,1,0.8799241,77.19835805213714
129.0,373.0514414999999,13.211805555555555,5,5,0,0,0,0,0,0,0,2,1,333.25,17.0,89.42904,1,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BO,120_plus,very_high,9_14,Y,O,1,0.86313206,77.189071480937
242.0,583.6409836,18.74652777777778,2,2,0,0,0,0,0,0,0,4,1,454.75,20.0,109.7698636,1,0,BAGGAGE,NEW HORIZON,LANG_02,Round-Trip,google,Paid Search,Paid Search,Logged-Out,AREA_C,AREA_B,AREA_C_TO_AREA_B,CE,BU,120_plus,very_high,15_30,Y,Y,0,0.7026108,77.12549066226785
8.0,282.737962,,4,4,0,0,0,0,0,0,0,4,1,1.8333333333333333,19.0,93.746304,1,0,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,mozilla,Direct,Paid Search,Logged-Out,AREA_B,AREA_B,AREA_B_TO_AREA_B,BE,BI,8_14,very_high,unknown_or_oneway,Y,W,0,0.82193685,77.05354141323852
133.0,390.38645570000006,25.118055555555557,4,2,1,1,0,1,1,0,0,4,1,604.5,13.0,91.9405912,3,0,BAGGAGE,CENTRAL HORIZON,LANG_02,Round-Trip,google,Direct,Direct,Logged-Out,AREA_D,AREA_B,AREA_D_TO_AREA_B,DA,BI,120_plus,very_high,15_30,Y,L,0,0.8345032,76.72471516003418
94.0,469.4956072,20.447916666666668,4,4,0,0,0,0,0,0,0,2,1,511.3333333333333,11.0,90.6214272,2,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,microsoft,Email,MetaSearches,Logged-Out,AREA_C,AREA_D,AREA_C_TO_AREA_D,CA,DA,61_120,very_high,15_30,Y,U,1,0.8448643,76.56280945688553
228.0,339.40076710000005,34.78125,3,1,1,1,0,1,1,1,0,2,1,838.0,13.0,93.6229536,2,0,BAGGAGE,LOWER VERTEX,LANG_02,Round-Trip,apple,Direct,Direct,Logged-In,AREA_B,AREA_B,AREA_B_TO_AREA_B,BU,BE,120_plus,very_high,30_plus,Y,U,0,0.8168943,76.48005647386093
89.0,421.3512608,10.253472222222221,4,2,0,2,0,1,0,1,0,4,1,248.5,17.0,92.1256168,3,0,BAGGAGE,SOUTH MERIDIAN,LANG_02,Round-Trip,google,Direct,Email,Logged-In,AREA_B,AREA_C,AREA_B_TO_AREA_C,BI,CA,61_120,very_high,9_14,Y,W,0,0.82626325,76.12001144596753
240.0,583.1805611,16.78125,3,3,0,0,0,0,0,0,1,2,1,406.0,10.0,93.6229536,2,0,BAGGAGE,LOWER VERTEX,LANG_02,Round-Trip,apple,Direct,Direct,Logged-Out,AREA_B,AREA_B,AREA_B_TO_AREA_B,BU,BE,120_plus,very_high,15_30,Y,U,1,0.80968994,75.80556359144956
73.0,392.4906936,6.333333333333333,3,3,0,0,0,0,0,1,0,2,1,166.41666666666666,15.0,90.6214272,1,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Paid Search,Paid Search,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BU,61_120,very_high,6_8,Y,W,0,0.83572364,75.73446886877747
118.0,382.4770396,10.222222222222221,4,2,1,1,0,1,1,1,0,2,1,260.0,10.0,90.6214272,3,1,BAGGAGE,UPPER APEX,LANG_09,Round-Trip,google,Paid Search,Paid Search,Logged-In,AREA_C,AREA_B,AREA_C_TO_AREA_B,CA,BI,61_120,very_high,9_14,Y,U,0,0.83417493,75.5941227861534
