,MARKET,LANGUAGE,FLIGHT_TYPE,DTD,BROWSER_TYPE,FIRST_TOUCH_CHANNEL,LAST_TOUCH_CHANNEL,ADULTS,TEENAGERS,CHILDREN,INFANTS,HOUR_OF_THE_DAY_PL_TIME,LOGIN_STATUS,LOYALTY_MEMBERSHIP_PROGRAM,FARE_YQ_TICKET,CALCULATED_DTD,IS_ANOMALY_DTD,TOTAL_PASSENGERS,HAS_CHILDREN_OR_INFANTS,TRIP_MONTH,TRIP_DAY_OF_WEEK,IS_WEEKEND_FLIGHT,TRIP_QUARTER,NUMBER_OF_SEGMENTS,IS_DIRECT_FLIGHT,TOTAL_EMD_SPEND,TOTAL_REVENUE,BOOKING_WINDOW,IS_SOLO_TRAVELER,IS_FAMILY,IS_ADULT_GROUP,ADULT_RATIO,ORIGIN_AIRPORT,DESTINATION_AIRPORT,FLIGHT_TIME_OF_DAY,TARGET_BUSINESS_LOUNGE,TARGET_MEAL,TARGET_PET,TARGET_SPECIAL_EQUIPMENT,TARGET_FAST_TRACK,TARGET_BAGGAGE
1053,NEW HORIZON,LANG_02,Round-Trip,43.0,samsung,Direct,Direct,1,0,0,0,21.0,Logged-In,No_Program,71.87302299999999,44,False,1,0,12,1,0,4,4,0,0.0,71.87302299999999,Advance (31-90),1,0,0,1.0,CES,BAP,Wieczór (18-23),0,0,0,0,0,0
1054,LOWER ZENITH,LANG_02,One-Way,0.0,microsoft,MetaSearches,MetaSearches,1,0,0,0,11.0,Logged-Out,No_Program,61.8580841,1,False,1,0,11,2,0,4,2,0,0.0,61.8580841,Last Minute (0-7),1,0,0,1.0,CUR,CEZ,Południe (10-13),0,0,0,0,0,0
1055,NORTH ZENITH,LANG_02,One-Way,32.0,microsoft,Paid Search,Paid Search,1,0,0,0,14.0,Logged-Out,No_Program,11.3760763,33,False,1,0,3,2,0,1,2,0,0.0,11.3760763,Advance (31-90),1,0,0,1.0,CAW,CIL,Popołudnie (14-17),0,0,0,0,0,0
1056,NEW HORIZON,LANG_02,Round-Trip,59.0,apple,Direct,Direct,2,0,1,0,18.0,Logged-Out,No_Program,96.4578713,60,False,3,1,12,4,0,4,4,0,0.0,96.4578713,Advance (31-90),0,1,0,0.6666666666666666,CES,BED,Wieczór (18-23),0,0,0,0,0,0
1057,NORTH HORIZON,LANG_04,Round-Trip,28.0,microsoft,Paid Search,Paid Search,1,0,0,0,13.0,Logged-In,No_Program,44.2887898,29,False,1,0,1,0,0,1,2,0,0.0,44.2887898,Medium (15-30),1,0,0,1.0,CAJ,CUN,Południe (10-13),0,0,0,0,0,0
1058,UPPER APEX,LANG_09,Round-Trip,175.0,apple,Direct,Direct,4,0,0,0,1.0,Logged-In,No_Program,179.7009744,175,False,4,0,8,5,1,3,2,0,0.0,179.7009744,Early Bird (90+),0,0,1,1.0,CAJ,BIT,Noc (0-5),0,0,0,0,0,0
1059,UPPER APEX,LANG_02,Round-Trip,2.0,microsoft,Direct,Paid Search,1,0,0,0,19.0,Logged-In,LO,96.5580935,3,False,1,0,12,3,0,4,2,0,0.0,96.5580935,Last Minute (0-7),1,0,0,1.0,CAJ,CON,Wieczór (18-23),0,0,0,0,0,0
1060,SOUTH ZENITH,LANG_07,One-Way,12.0,google,Organic Search,Organic Search,1,0,0,0,14.0,Logged-Out,No_Program,12.9299487,13,False,1,0,2,0,0,1,1,1,0.0,12.9299487,Short (8-14),1,0,0,1.0,CAJ,BED,Popołudnie (14-17),0,0,0,0,0,1
1061,SOUTH HORIZON,LANG_02,Round-Trip,47.0,apple,Direct,Direct,1,0,0,0,19.0,Logged-Out,No_Program,46.3908862,48,False,1,0,12,0,0,4,2,0,0.0,46.3908862,Advance (31-90),1,0,0,1.0,COJ,CEW,Wieczór (18-23),0,0,0,0,0,1
1062,UPPER APEX,LANG_02,One-Way,8.0,google,Email,Paid Search,1,0,0,0,14.0,Logged-Out,No_Program,47.8346855,9,False,1,0,10,6,1,4,1,1,0.0,47.8346855,Short (8-14),1,0,0,1.0,CAJ,CER,Popołudnie (14-17),0,0,0,0,0,0
1063,SOUTH HORIZON,LANG_02,One-Way,3.0,google,MetaSearches,MetaSearches,2,0,0,0,12.0,Logged-Out,No_Program,101.4959642,4,False,2,0,12,6,1,4,1,1,0.0,101.4959642,Last Minute (0-7),0,0,0,1.0,BOT,BIT,Południe (10-13),0,0,0,0,0,1
